Team                       , FDCOUK               , City                   , Stadium                                       , Capacity, Latitude  , Longitude , Country
Crewe Alexandra            , Crewe                , Crewe                  , Alexandra Stadium                             ,    10153, 53.0874194, -2.4357472, Inghilterra
Stockport County           , Stockport            , Stockport              , Edgeley Park                                  ,    10841, 53.39972  , -2.16638  , Inghilterra
Walsall F.C.               , Walsall              , Walsall                , Banks's Stadium                               ,    11300, 52.565433 , -1.9907055, Inghilterra
Gillingham F.C.            , Gillingham           , Gillingham             , Priestfield                                   ,    11582, 51.38425  , 0.5607527 , Inghilterra
Preston North End          , Preston              , Preston                , Deepdale                                      ,    23404, 53.77222  , -2.68805  , Inghilterra
Rotherham United           , Rotherham            , Rotherham              , New York Stadium                              ,    12021, 53.4279   , -1.362    , Inghilterra
Plymouth Argyle            , Plymouth             , Plymouth               , Home Park                                     ,    17150, 50.38805  , -4.150833 , Inghilterra
Colchester United          , Colchester           , Colchester             , Colchester Community Stadium                  ,    10105, 51.923394 , 0.897703  , Inghilterra
Scunthorpe United          , Scunthorpe           , Scunthorpe             , Glanford Park                                 ,     9088, 53.586725 , -0.695266 , Inghilterra
A.F.C. Bournemouth         , Bournemouth          , Bournemouth            , Goldsands Stadium                             ,    12000, 50.735277 , -1.83833  , Inghilterra
Yeovil Town                , Yeovil               , Yeovil                 , Huish Park                                    ,     9565, 50.95027  , -2.67488  , Inghilterra
Brentford                  , Brentford            , London                 , Griffin Park                                  ,    12763, 51.488183 , -0.302639 , Inghilterra
Atalanta                   , Atalanta             , Bergamo                , Gewiss Stadium                                ,    24950,           ,           , Italia
Bologna                    , Bologna              , Bologna                , Stadio Renato Dall'Ara                        ,    36000,           ,           , Italia
Cagliari                   , Cagliari             , Cagliari               , Unipol Domus                                  ,    16416,           ,           , Italia
Como                       , Como                 , Como                   , Stadio Giuseppe Sinigaglia                    ,    13602,           ,           , Italia
Empoli                     , Empoli               , Empoli                 , Stadio Carlo Castellani - Computer Gross Arena,    16167,           ,           , Italia
Fiorentina                 , Fiorentina           , Firenze                , Stadio Artemio Franchi                        ,    43118,           ,           , Italia
Genoa                      , Genoa                , Genoa                  , Stadio Luigi Ferraris                         ,    33205,           ,           , Italia
Hellas Verona              , Hellas Verona        , Verona                 , Stadio Marcantonio Bentegodi                  ,    31713,           ,           , Italia
Inter Milan                , Inter Milan          , Milano                 , San Siro                                      ,    75710,           ,           , Italia
Juventus                   , Juventus             , Torino                 , Allianz Stadium                               ,    41507,           ,           , Italia
Lazio                      , Lazio                , Roma                   , Stadio Olimpico                               ,    67585,           ,           , Italia
Lecce                      , Lecce                , Lecce                  , Stadio Via del Mare                           ,    30354,           ,           , Italia
AC Milan                   , AC Milan             , Milano                 , San Siro                                      ,    75710,           ,           , Italia
Monza                      , Monza                , Monza                  , Stadio Brianteo                               ,    17102,           ,           , Italia
Napoli                     , Napoli               , Naples                 , Stadio Diego Armando Maradona                 ,    54732,           ,           , Italia
Parma                      , Parma                , Parma                  , Stadio Ennio Tardini                          ,    22352,           ,           , Italia
Roma                       , Roma                 , Roma                   , Stadio Olimpico                               ,    67585,           ,           , Italia
Torino                     , Torino               , Torino                 , Stadio Olimpico Grande Torino                 ,    28177,           ,           , Italia
Udinese                    , Udinese              , Udine                  , Stadio Friuli                                 ,    25132,           ,           , Italia
Venezia                    , Venezia              , Venezia                , Stadio Pier Luigi Penzo                       ,    11150,           ,           , Italia
Bari                       , Bari                 , Bari                   , Stadio San Nicola                             ,    58270,           ,           , Italia
Brescia                    , Brescia              , Brescia                , Stadio Mario Rigamonti                        ,    19500,           ,           , Italia
Carrarese                  , Carrarese            , Carrara                , Stadio dei Marmi                              ,     3520,           ,           , Italia
Catanzaro                  , Catanzaro            , Catanzaro              , Stadio Nicola Ceravolo                        ,    14650,           ,           , Italia
Cesena                     , Cesena               , Cesena                 , Orogel Stadium-Dino Manuzzi                   ,    20194,           ,           , Italia
Cittadella                 , Cittadella           , Cittadella             , Stadio Pier Cesare Tombolato                  ,     7623,           ,           , Italia
Cosenza                    , Cosenza              , Cosenza                , Stadio San Vito-Gigi Marulla                  ,    20987,           ,           , Italia
Cremonese                  , Cremonese            , Cremona                , Stadio Giovanni Zini                          ,    15191,           ,           , Italia
Frosinone                  , Frosinone            , Frosinone              , Stadio Benito Stirpe                          ,    16227,           ,           , Italia
Juve Stabia                , Juve Stabia          , Castellammare di Stabia, Stadio Romeo Menti                            ,     7642,           ,           , Italia
Mantova                    , Mantova              , Mantua                 , Stadio Danilo Martelli                        ,     6066,           ,           , Italia
Modena                     , Modena               , Modena                 , Stadio Alberto Braglia                        ,    21151,           ,           , Italia
Palermo                    , Palermo              , Palermo                , Stadio Renzo Barbera                          ,    36365,           ,           , Italia
Pisa                       , Pisa                 , Pisa                   , Arena Garibaldi – Stadio Romeo Anconetani     ,    14000,           ,           , Italia
Reggiana                   , Reggiana             , Reggio Emilia          , Mapei Stadium – Città del Tricolore           ,    21525,           ,           , Italia
Salernitana                , Salernitana          , Salerno                , Stadio Arechi                                 ,    20194,           ,           , Italia
Sampdoria                  , Sampdoria            , Genoa                  , Stadio Luigi Ferraris                         ,    33205,           ,           , Italia
Sassuolo                   , Sassuolo             , Sassuolo               , Mapei Stadium – Città del Tricolore           ,    21515,           ,           , Italia
Spezia                     , Spezia               , La Spezia              , Stadio Alberto Picco                          ,    11968,           ,           , Italia
Südtirol                   , Südtirol             , Bolzano                , Stadio Druso                                  ,     5539,           ,           , Italia
